datetime,channel,model,learning_method,RMSE,PC
2022-07-10T14:56:29Z,world,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:56:56Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T14:56:56Z,lifestyle,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:56:56Z,lifestyle,A: shares ~ weekday + selected numeric vars,Boosted_Tree,10406.63815,PC2
2022-07-10T14:56:56Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,10408.06079,PC2
2022-07-10T14:56:56Z,lifestyle,A: shares ~ weekday + selected numeric vars,Linear_Regression,10453.59905,PC2
2022-07-10T14:56:56Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Linear_Regression,10476.04931,PC2
2022-07-10T14:58:06Z,tech,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T14:58:06Z,tech,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:58:06Z,tech,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4293.597231,PC2
2022-07-10T14:58:06Z,tech,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4370.986053,PC2
2022-07-10T14:58:06Z,tech,A: shares ~ weekday + selected numeric vars,Linear_Regression,4427.075188,PC2
2022-07-10T14:58:06Z,tech,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4477.063711,PC2
2022-07-10T14:59:07Z,bus,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T14:59:07Z,bus,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:59:07Z,bus,A: shares ~ weekday + selected numeric vars,Linear_Regression,7942.377317,PC2
2022-07-10T14:59:07Z,bus,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7981.691592,PC2
2022-07-10T14:59:07Z,bus,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7990.362537,PC2
2022-07-10T14:59:07Z,bus,B: shares ~ is_weekend + all numeric vars,Linear_Regression,8730.559651,PC2
2022-07-10T15:00:17Z,entertainment,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T15:00:17Z,entertainment,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
